issue,category,tool,question,participant,response
Case 6-5,6,staticcheck,convincing,1,5
Case 6-5,6,staticcheck,convincing,2,4
Case 6-5,6,staticcheck,convincing,3,4
Case 6-5,6,staticcheck,guiding,1,2
Case 6-5,6,staticcheck,guiding,2,4
Case 6-5,6,staticcheck,guiding,3,4
Case 6-6,6,staticcheck,convincing,1,4
Case 6-6,6,staticcheck,convincing,4,2
Case 6-6,6,staticcheck,convincing,5,5
Case 6-6,6,staticcheck,guiding,1,3
Case 6-6,6,staticcheck,guiding,4,4
Case 6-6,6,staticcheck,guiding,5,5
Case 6-7,6,staticcheck,convincing,2,4
Case 6-7,6,staticcheck,convincing,3,4
Case 6-7,6,staticcheck,convincing,4,1
Case 6-7,6,staticcheck,guiding,2,3
Case 6-7,6,staticcheck,guiding,3,4
Case 6-7,6,staticcheck,guiding,4,2
Case 7-4,7,revive,convincing,1,5
Case 7-4,7,revive,convincing,2,2
Case 7-4,7,revive,convincing,5,5
Case 7-4,7,revive,guiding,1,1
Case 7-4,7,revive,guiding,2,1
Case 7-4,7,revive,guiding,5,5
Case 7-5,7,revive,convincing,3,5
Case 7-5,7,revive,convincing,4,4
Case 7-5,7,revive,convincing,5,5
Case 7-5,7,revive,guiding,3,5
Case 7-5,7,revive,guiding,4,4
Case 7-5,7,revive,guiding,5,5
Case 7-6,7,revive,convincing,1,5
Case 7-6,7,revive,convincing,2,3
Case 7-6,7,revive,convincing,4,2
Case 7-6,7,revive,guiding,1,2
Case 7-6,7,revive,guiding,2,3
Case 7-6,7,revive,guiding,4,2
Case 8-3,8,staticcheck,convincing,1,5
Case 8-3,8,staticcheck,convincing,3,3
Case 8-3,8,staticcheck,convincing,5,1
Case 8-3,8,staticcheck,guiding,1,4
Case 8-3,8,staticcheck,guiding,3,2
Case 8-3,8,staticcheck,guiding,5,1
Case 8-4,8,staticcheck,convincing,2,4
Case 8-4,8,staticcheck,convincing,4,5
Case 8-4,8,staticcheck,convincing,5,5
Case 8-4,8,staticcheck,guiding,2,4
Case 8-4,8,staticcheck,guiding,4,2
Case 8-4,8,staticcheck,guiding,5,1
Case 10-3,10,gosec,convincing,1,3
Case 10-3,10,gosec,convincing,3,5
Case 10-3,10,gosec,convincing,5,5
Case 10-3,10,gosec,guiding,1,2
Case 10-3,10,gosec,guiding,3,5
Case 10-3,10,gosec,guiding,5,2
Case 10-4,10,gosec,convincing,2,5
Case 10-4,10,gosec,convincing,3,5
Case 10-4,10,gosec,convincing,4,5
Case 10-4,10,gosec,guiding,2,5
Case 10-4,10,gosec,guiding,3,4
Case 10-4,10,gosec,guiding,4,4